group	label	ns	tau	cov	rc	pr	f
ipr_submission.tsv	ipr_submission.tsv	biological_process	0.010	0.712	0.226	0.778	0.351
ipr_submission.tsv	ipr_submission.tsv	biological_process	0.020	0.712	0.226	0.778	0.351
ipr_submission.tsv	ipr_submission.tsv	biological_process	0.030	0.712	0.226	0.778	0.351
ipr_submission.tsv	ipr_submission.tsv	biological_process	0.040	0.712	0.226	0.778	0.351
ipr_submission.tsv	ipr_submission.tsv	biological_process	0.050	0.712	0.226	0.778	0.351
ipr_submission.tsv	ipr_submission.tsv	biological_process	0.060	0.712	0.226	0.778	0.351
ipr_submission.tsv	ipr_submission.tsv	biological_process	0.070	0.712	0.226	0.778	0.351
ipr_submission.tsv	ipr_submission.tsv	biological_process	0.080	0.712	0.226	0.778	0.351
ipr_submission.tsv	ipr_submission.tsv	biological_process	0.090	0.712	0.226	0.778	0.351
ipr_submission.tsv	ipr_submission.tsv	biological_process	0.100	0.712	0.226	0.778	0.351
ipr_submission.tsv	ipr_submission.tsv	biological_process	0.110	0.712	0.226	0.778	0.351
ipr_submission.tsv	ipr_submission.tsv	biological_process	0.120	0.712	0.226	0.778	0.351
ipr_submission.tsv	ipr_submission.tsv	biological_process	0.130	0.712	0.226	0.778	0.351
ipr_submission.tsv	ipr_submission.tsv	biological_process	0.140	0.712	0.226	0.778	0.351
ipr_submission.tsv	ipr_submission.tsv	biological_process	0.150	0.712	0.226	0.778	0.351
ipr_submission.tsv	ipr_submission.tsv	biological_process	0.160	0.712	0.226	0.778	0.351
ipr_submission.tsv	ipr_submission.tsv	biological_process	0.170	0.712	0.226	0.778	0.351
ipr_submission.tsv	ipr_submission.tsv	biological_process	0.180	0.712	0.226	0.778	0.351
ipr_submission.tsv	ipr_submission.tsv	biological_process	0.190	0.712	0.226	0.778	0.351
ipr_submission.tsv	ipr_submission.tsv	biological_process	0.200	0.712	0.226	0.778	0.351
ipr_submission.tsv	ipr_submission.tsv	biological_process	0.210	0.712	0.226	0.778	0.351
ipr_submission.tsv	ipr_submission.tsv	biological_process	0.220	0.712	0.226	0.778	0.351
ipr_submission.tsv	ipr_submission.tsv	biological_process	0.230	0.712	0.226	0.778	0.351
ipr_submission.tsv	ipr_submission.tsv	biological_process	0.240	0.712	0.226	0.778	0.351
ipr_submission.tsv	ipr_submission.tsv	biological_process	0.250	0.712	0.226	0.778	0.351
ipr_submission.tsv	ipr_submission.tsv	biological_process	0.260	0.712	0.226	0.778	0.351
ipr_submission.tsv	ipr_submission.tsv	biological_process	0.270	0.712	0.226	0.778	0.351
ipr_submission.tsv	ipr_submission.tsv	biological_process	0.280	0.712	0.226	0.778	0.351
ipr_submission.tsv	ipr_submission.tsv	biological_process	0.290	0.712	0.226	0.778	0.351
ipr_submission.tsv	ipr_submission.tsv	biological_process	0.300	0.712	0.226	0.778	0.351
ipr_submission.tsv	ipr_submission.tsv	biological_process	0.310	0.712	0.226	0.778	0.351
ipr_submission.tsv	ipr_submission.tsv	biological_process	0.320	0.712	0.226	0.778	0.351
ipr_submission.tsv	ipr_submission.tsv	biological_process	0.330	0.712	0.226	0.778	0.351
ipr_submission.tsv	ipr_submission.tsv	biological_process	0.340	0.712	0.226	0.778	0.351
ipr_submission.tsv	ipr_submission.tsv	biological_process	0.350	0.712	0.226	0.778	0.351
ipr_submission.tsv	ipr_submission.tsv	biological_process	0.360	0.712	0.226	0.778	0.351
ipr_submission.tsv	ipr_submission.tsv	biological_process	0.370	0.712	0.226	0.778	0.351
ipr_submission.tsv	ipr_submission.tsv	biological_process	0.380	0.712	0.226	0.778	0.351
ipr_submission.tsv	ipr_submission.tsv	biological_process	0.390	0.712	0.226	0.778	0.351
ipr_submission.tsv	ipr_submission.tsv	biological_process	0.400	0.712	0.226	0.778	0.351
ipr_submission.tsv	ipr_submission.tsv	biological_process	0.410	0.712	0.226	0.778	0.351
ipr_submission.tsv	ipr_submission.tsv	biological_process	0.420	0.712	0.226	0.778	0.351
ipr_submission.tsv	ipr_submission.tsv	biological_process	0.430	0.712	0.226	0.778	0.351
ipr_submission.tsv	ipr_submission.tsv	biological_process	0.440	0.712	0.226	0.778	0.351
ipr_submission.tsv	ipr_submission.tsv	biological_process	0.450	0.712	0.226	0.778	0.351
ipr_submission.tsv	ipr_submission.tsv	biological_process	0.460	0.712	0.226	0.778	0.351
ipr_submission.tsv	ipr_submission.tsv	biological_process	0.470	0.712	0.226	0.778	0.351
ipr_submission.tsv	ipr_submission.tsv	biological_process	0.480	0.712	0.226	0.778	0.351
ipr_submission.tsv	ipr_submission.tsv	biological_process	0.490	0.712	0.226	0.778	0.351
ipr_submission.tsv	ipr_submission.tsv	biological_process	0.500	0.712	0.226	0.778	0.351
ipr_submission.tsv	ipr_submission.tsv	biological_process	0.510	0.712	0.226	0.778	0.351
ipr_submission.tsv	ipr_submission.tsv	biological_process	0.520	0.712	0.226	0.778	0.351
ipr_submission.tsv	ipr_submission.tsv	biological_process	0.530	0.712	0.226	0.778	0.351
ipr_submission.tsv	ipr_submission.tsv	biological_process	0.540	0.712	0.226	0.778	0.351
ipr_submission.tsv	ipr_submission.tsv	biological_process	0.550	0.712	0.226	0.778	0.351
ipr_submission.tsv	ipr_submission.tsv	biological_process	0.560	0.712	0.226	0.778	0.351
ipr_submission.tsv	ipr_submission.tsv	biological_process	0.570	0.712	0.226	0.778	0.351
ipr_submission.tsv	ipr_submission.tsv	biological_process	0.580	0.712	0.226	0.778	0.351
ipr_submission.tsv	ipr_submission.tsv	biological_process	0.590	0.712	0.226	0.778	0.351
ipr_submission.tsv	ipr_submission.tsv	biological_process	0.600	0.712	0.226	0.778	0.351
ipr_submission.tsv	ipr_submission.tsv	biological_process	0.610	0.712	0.226	0.778	0.351
ipr_submission.tsv	ipr_submission.tsv	biological_process	0.620	0.712	0.226	0.778	0.351
ipr_submission.tsv	ipr_submission.tsv	biological_process	0.630	0.712	0.226	0.778	0.351
ipr_submission.tsv	ipr_submission.tsv	biological_process	0.640	0.712	0.226	0.778	0.351
ipr_submission.tsv	ipr_submission.tsv	biological_process	0.650	0.712	0.226	0.778	0.351
ipr_submission.tsv	ipr_submission.tsv	biological_process	0.660	0.712	0.226	0.778	0.351
ipr_submission.tsv	ipr_submission.tsv	biological_process	0.670	0.712	0.226	0.778	0.351
ipr_submission.tsv	ipr_submission.tsv	biological_process	0.680	0.712	0.226	0.778	0.351
ipr_submission.tsv	ipr_submission.tsv	biological_process	0.690	0.712	0.226	0.778	0.351
ipr_submission.tsv	ipr_submission.tsv	biological_process	0.700	0.712	0.226	0.778	0.351
ipr_submission.tsv	ipr_submission.tsv	biological_process	0.710	0.712	0.226	0.778	0.351
ipr_submission.tsv	ipr_submission.tsv	biological_process	0.720	0.712	0.226	0.778	0.351
ipr_submission.tsv	ipr_submission.tsv	biological_process	0.730	0.712	0.226	0.778	0.351
ipr_submission.tsv	ipr_submission.tsv	biological_process	0.740	0.712	0.226	0.778	0.351
ipr_submission.tsv	ipr_submission.tsv	biological_process	0.750	0.712	0.226	0.778	0.351
ipr_submission.tsv	ipr_submission.tsv	biological_process	0.760	0.712	0.226	0.778	0.351
ipr_submission.tsv	ipr_submission.tsv	biological_process	0.770	0.712	0.226	0.778	0.351
ipr_submission.tsv	ipr_submission.tsv	biological_process	0.780	0.712	0.226	0.778	0.351
ipr_submission.tsv	ipr_submission.tsv	biological_process	0.790	0.712	0.226	0.778	0.351
ipr_submission.tsv	ipr_submission.tsv	biological_process	0.800	0.712	0.226	0.778	0.351
ipr_submission.tsv	ipr_submission.tsv	biological_process	0.810	0.712	0.226	0.778	0.351
ipr_submission.tsv	ipr_submission.tsv	biological_process	0.820	0.712	0.226	0.778	0.351
ipr_submission.tsv	ipr_submission.tsv	biological_process	0.830	0.712	0.226	0.778	0.351
ipr_submission.tsv	ipr_submission.tsv	biological_process	0.840	0.712	0.226	0.778	0.351
ipr_submission.tsv	ipr_submission.tsv	biological_process	0.850	0.712	0.226	0.778	0.351
ipr_submission.tsv	ipr_submission.tsv	biological_process	0.860	0.712	0.226	0.778	0.351
ipr_submission.tsv	ipr_submission.tsv	biological_process	0.870	0.712	0.226	0.778	0.351
ipr_submission.tsv	ipr_submission.tsv	biological_process	0.880	0.712	0.226	0.778	0.351
ipr_submission.tsv	ipr_submission.tsv	biological_process	0.890	0.712	0.226	0.778	0.351
ipr_submission.tsv	ipr_submission.tsv	biological_process	0.900	0.712	0.226	0.778	0.351
ipr_submission.tsv	ipr_submission.tsv	biological_process	0.910	0.712	0.226	0.778	0.351
ipr_submission.tsv	ipr_submission.tsv	biological_process	0.920	0.712	0.226	0.778	0.351
ipr_submission.tsv	ipr_submission.tsv	biological_process	0.930	0.712	0.226	0.778	0.351
ipr_submission.tsv	ipr_submission.tsv	biological_process	0.940	0.712	0.226	0.778	0.351
ipr_submission.tsv	ipr_submission.tsv	biological_process	0.950	0.712	0.226	0.778	0.351
ipr_submission.tsv	ipr_submission.tsv	biological_process	0.960	0.712	0.226	0.778	0.351
ipr_submission.tsv	ipr_submission.tsv	biological_process	0.970	0.712	0.226	0.778	0.351
ipr_submission.tsv	ipr_submission.tsv	biological_process	0.980	0.712	0.226	0.778	0.351
ipr_submission.tsv	ipr_submission.tsv	biological_process	0.990	0.712	0.226	0.778	0.351
ipr_submission.tsv	ipr_submission.tsv	cellular_component	0.010	0.455	0.149	0.921	0.256
ipr_submission.tsv	ipr_submission.tsv	cellular_component	0.020	0.455	0.149	0.921	0.256
ipr_submission.tsv	ipr_submission.tsv	cellular_component	0.030	0.455	0.149	0.921	0.256
ipr_submission.tsv	ipr_submission.tsv	cellular_component	0.040	0.455	0.149	0.921	0.256
ipr_submission.tsv	ipr_submission.tsv	cellular_component	0.050	0.455	0.149	0.921	0.256
ipr_submission.tsv	ipr_submission.tsv	cellular_component	0.060	0.455	0.149	0.921	0.256
ipr_submission.tsv	ipr_submission.tsv	cellular_component	0.070	0.455	0.149	0.921	0.256
ipr_submission.tsv	ipr_submission.tsv	cellular_component	0.080	0.455	0.149	0.921	0.256
ipr_submission.tsv	ipr_submission.tsv	cellular_component	0.090	0.455	0.149	0.921	0.256
ipr_submission.tsv	ipr_submission.tsv	cellular_component	0.100	0.455	0.149	0.921	0.256
ipr_submission.tsv	ipr_submission.tsv	cellular_component	0.110	0.455	0.149	0.921	0.256
ipr_submission.tsv	ipr_submission.tsv	cellular_component	0.120	0.455	0.149	0.921	0.256
ipr_submission.tsv	ipr_submission.tsv	cellular_component	0.130	0.455	0.149	0.921	0.256
ipr_submission.tsv	ipr_submission.tsv	cellular_component	0.140	0.455	0.149	0.921	0.256
ipr_submission.tsv	ipr_submission.tsv	cellular_component	0.150	0.455	0.149	0.921	0.256
ipr_submission.tsv	ipr_submission.tsv	cellular_component	0.160	0.455	0.149	0.921	0.256
ipr_submission.tsv	ipr_submission.tsv	cellular_component	0.170	0.455	0.149	0.921	0.256
ipr_submission.tsv	ipr_submission.tsv	cellular_component	0.180	0.455	0.149	0.921	0.256
ipr_submission.tsv	ipr_submission.tsv	cellular_component	0.190	0.455	0.149	0.921	0.256
ipr_submission.tsv	ipr_submission.tsv	cellular_component	0.200	0.455	0.149	0.921	0.256
ipr_submission.tsv	ipr_submission.tsv	cellular_component	0.210	0.455	0.149	0.921	0.256
ipr_submission.tsv	ipr_submission.tsv	cellular_component	0.220	0.455	0.149	0.921	0.256
ipr_submission.tsv	ipr_submission.tsv	cellular_component	0.230	0.455	0.149	0.921	0.256
ipr_submission.tsv	ipr_submission.tsv	cellular_component	0.240	0.455	0.149	0.921	0.256
ipr_submission.tsv	ipr_submission.tsv	cellular_component	0.250	0.455	0.149	0.921	0.256
ipr_submission.tsv	ipr_submission.tsv	cellular_component	0.260	0.455	0.149	0.921	0.256
ipr_submission.tsv	ipr_submission.tsv	cellular_component	0.270	0.455	0.149	0.921	0.256
ipr_submission.tsv	ipr_submission.tsv	cellular_component	0.280	0.455	0.149	0.921	0.256
ipr_submission.tsv	ipr_submission.tsv	cellular_component	0.290	0.455	0.149	0.921	0.256
ipr_submission.tsv	ipr_submission.tsv	cellular_component	0.300	0.455	0.149	0.921	0.256
ipr_submission.tsv	ipr_submission.tsv	cellular_component	0.310	0.455	0.149	0.921	0.256
ipr_submission.tsv	ipr_submission.tsv	cellular_component	0.320	0.455	0.149	0.921	0.256
ipr_submission.tsv	ipr_submission.tsv	cellular_component	0.330	0.455	0.149	0.921	0.256
ipr_submission.tsv	ipr_submission.tsv	cellular_component	0.340	0.455	0.149	0.921	0.256
ipr_submission.tsv	ipr_submission.tsv	cellular_component	0.350	0.455	0.149	0.921	0.256
ipr_submission.tsv	ipr_submission.tsv	cellular_component	0.360	0.455	0.149	0.921	0.256
ipr_submission.tsv	ipr_submission.tsv	cellular_component	0.370	0.455	0.149	0.921	0.256
ipr_submission.tsv	ipr_submission.tsv	cellular_component	0.380	0.455	0.149	0.921	0.256
ipr_submission.tsv	ipr_submission.tsv	cellular_component	0.390	0.455	0.149	0.921	0.256
ipr_submission.tsv	ipr_submission.tsv	cellular_component	0.400	0.455	0.149	0.921	0.256
ipr_submission.tsv	ipr_submission.tsv	cellular_component	0.410	0.455	0.149	0.921	0.256
ipr_submission.tsv	ipr_submission.tsv	cellular_component	0.420	0.455	0.149	0.921	0.256
ipr_submission.tsv	ipr_submission.tsv	cellular_component	0.430	0.455	0.149	0.921	0.256
ipr_submission.tsv	ipr_submission.tsv	cellular_component	0.440	0.455	0.149	0.921	0.256
ipr_submission.tsv	ipr_submission.tsv	cellular_component	0.450	0.455	0.149	0.921	0.256
ipr_submission.tsv	ipr_submission.tsv	cellular_component	0.460	0.455	0.149	0.921	0.256
ipr_submission.tsv	ipr_submission.tsv	cellular_component	0.470	0.455	0.149	0.921	0.256
ipr_submission.tsv	ipr_submission.tsv	cellular_component	0.480	0.455	0.149	0.921	0.256
ipr_submission.tsv	ipr_submission.tsv	cellular_component	0.490	0.455	0.149	0.921	0.256
ipr_submission.tsv	ipr_submission.tsv	cellular_component	0.500	0.455	0.149	0.921	0.256
ipr_submission.tsv	ipr_submission.tsv	cellular_component	0.510	0.455	0.149	0.921	0.256
ipr_submission.tsv	ipr_submission.tsv	cellular_component	0.520	0.455	0.149	0.921	0.256
ipr_submission.tsv	ipr_submission.tsv	cellular_component	0.530	0.455	0.149	0.921	0.256
ipr_submission.tsv	ipr_submission.tsv	cellular_component	0.540	0.455	0.149	0.921	0.256
ipr_submission.tsv	ipr_submission.tsv	cellular_component	0.550	0.455	0.149	0.921	0.256
ipr_submission.tsv	ipr_submission.tsv	cellular_component	0.560	0.455	0.149	0.921	0.256
ipr_submission.tsv	ipr_submission.tsv	cellular_component	0.570	0.455	0.149	0.921	0.256
ipr_submission.tsv	ipr_submission.tsv	cellular_component	0.580	0.455	0.149	0.921	0.256
ipr_submission.tsv	ipr_submission.tsv	cellular_component	0.590	0.455	0.149	0.921	0.256
ipr_submission.tsv	ipr_submission.tsv	cellular_component	0.600	0.455	0.149	0.921	0.256
ipr_submission.tsv	ipr_submission.tsv	cellular_component	0.610	0.455	0.149	0.921	0.256
ipr_submission.tsv	ipr_submission.tsv	cellular_component	0.620	0.455	0.149	0.921	0.256
ipr_submission.tsv	ipr_submission.tsv	cellular_component	0.630	0.455	0.149	0.921	0.256
ipr_submission.tsv	ipr_submission.tsv	cellular_component	0.640	0.455	0.149	0.921	0.256
ipr_submission.tsv	ipr_submission.tsv	cellular_component	0.650	0.455	0.149	0.921	0.256
ipr_submission.tsv	ipr_submission.tsv	cellular_component	0.660	0.455	0.149	0.921	0.256
ipr_submission.tsv	ipr_submission.tsv	cellular_component	0.670	0.455	0.149	0.921	0.256
ipr_submission.tsv	ipr_submission.tsv	cellular_component	0.680	0.455	0.149	0.921	0.256
ipr_submission.tsv	ipr_submission.tsv	cellular_component	0.690	0.455	0.149	0.921	0.256
ipr_submission.tsv	ipr_submission.tsv	cellular_component	0.700	0.455	0.149	0.921	0.256
ipr_submission.tsv	ipr_submission.tsv	cellular_component	0.710	0.455	0.149	0.921	0.256
ipr_submission.tsv	ipr_submission.tsv	cellular_component	0.720	0.455	0.149	0.921	0.256
ipr_submission.tsv	ipr_submission.tsv	cellular_component	0.730	0.455	0.149	0.921	0.256
ipr_submission.tsv	ipr_submission.tsv	cellular_component	0.740	0.455	0.149	0.921	0.256
ipr_submission.tsv	ipr_submission.tsv	cellular_component	0.750	0.455	0.149	0.921	0.256
ipr_submission.tsv	ipr_submission.tsv	cellular_component	0.760	0.455	0.149	0.921	0.256
ipr_submission.tsv	ipr_submission.tsv	cellular_component	0.770	0.455	0.149	0.921	0.256
ipr_submission.tsv	ipr_submission.tsv	cellular_component	0.780	0.455	0.149	0.921	0.256
ipr_submission.tsv	ipr_submission.tsv	cellular_component	0.790	0.455	0.149	0.921	0.256
ipr_submission.tsv	ipr_submission.tsv	cellular_component	0.800	0.455	0.149	0.921	0.256
ipr_submission.tsv	ipr_submission.tsv	cellular_component	0.810	0.455	0.149	0.921	0.256
ipr_submission.tsv	ipr_submission.tsv	cellular_component	0.820	0.455	0.149	0.921	0.256
ipr_submission.tsv	ipr_submission.tsv	cellular_component	0.830	0.455	0.149	0.921	0.256
ipr_submission.tsv	ipr_submission.tsv	cellular_component	0.840	0.455	0.149	0.921	0.256
ipr_submission.tsv	ipr_submission.tsv	cellular_component	0.850	0.455	0.149	0.921	0.256
ipr_submission.tsv	ipr_submission.tsv	cellular_component	0.860	0.455	0.149	0.921	0.256
ipr_submission.tsv	ipr_submission.tsv	cellular_component	0.870	0.455	0.149	0.921	0.256
ipr_submission.tsv	ipr_submission.tsv	cellular_component	0.880	0.455	0.149	0.921	0.256
ipr_submission.tsv	ipr_submission.tsv	cellular_component	0.890	0.455	0.149	0.921	0.256
ipr_submission.tsv	ipr_submission.tsv	cellular_component	0.900	0.455	0.149	0.921	0.256
ipr_submission.tsv	ipr_submission.tsv	cellular_component	0.910	0.455	0.149	0.921	0.256
ipr_submission.tsv	ipr_submission.tsv	cellular_component	0.920	0.455	0.149	0.921	0.256
ipr_submission.tsv	ipr_submission.tsv	cellular_component	0.930	0.455	0.149	0.921	0.256
ipr_submission.tsv	ipr_submission.tsv	cellular_component	0.940	0.455	0.149	0.921	0.256
ipr_submission.tsv	ipr_submission.tsv	cellular_component	0.950	0.455	0.149	0.921	0.256
ipr_submission.tsv	ipr_submission.tsv	cellular_component	0.960	0.455	0.149	0.921	0.256
ipr_submission.tsv	ipr_submission.tsv	cellular_component	0.970	0.455	0.149	0.921	0.256
ipr_submission.tsv	ipr_submission.tsv	cellular_component	0.980	0.455	0.149	0.921	0.256
ipr_submission.tsv	ipr_submission.tsv	cellular_component	0.990	0.455	0.149	0.921	0.256
ipr_submission.tsv	ipr_submission.tsv	molecular_function	0.010	0.912	0.516	0.770	0.618
ipr_submission.tsv	ipr_submission.tsv	molecular_function	0.020	0.912	0.516	0.770	0.618
ipr_submission.tsv	ipr_submission.tsv	molecular_function	0.030	0.912	0.516	0.770	0.618
ipr_submission.tsv	ipr_submission.tsv	molecular_function	0.040	0.912	0.516	0.770	0.618
